12/25/2023 16:36:31 26.69C, 26.63C, 26.88C, 26.81C, 26.75C, 26.88C
12/25/2023 16:37:56 26.69C, 26.69C, 26.88C, 26.88C, 26.75C, 26.88C
12/25/2023 16:37:58 26.75C, 26.69C, 26.88C, 26.88C, 26.75C, 26.94C
12/25/2023 16:38:00 26.81C, 26.75C, 26.94C, 26.94C, 26.81C, 27.00C
12/25/2023 16:38:03 26.94C, 26.88C, 27.06C, 27.00C, 26.88C, 27.06C
12/25/2023 16:38:05 27.00C, 26.94C, 27.13C, 27.13C, 26.94C, 27.13C
12/25/2023 16:38:08 27.13C, 27.00C, 27.19C, 27.19C, 27.00C, 27.19C
12/25/2023 16:38:10 27.25C, 27.06C, 27.25C, 27.25C, 27.06C, 27.31C
12/25/2023 16:38:13 27.38C, 27.13C, 27.38C, 27.38C, 27.13C, 27.38C
12/25/2023 16:38:15 27.44C, 27.25C, 27.50C, 27.44C, 27.19C, 27.44C
12/25/2023 16:38:17 27.56C, 27.31C, 27.56C, 27.56C, 27.25C, 27.50C
12/25/2023 16:38:20 27.75C, 27.44C, 27.69C, 27.63C, 27.38C, 27.63C
12/25/2023 16:38:22 27.81C, 27.50C, 27.81C, 27.75C, 27.44C, 27.69C
12/25/2023 16:38:25 27.94C, 27.63C, 27.94C, 27.88C, 27.50C, 27.75C
12/25/2023 16:38:27 28.13C, 27.69C, 28.06C, 27.94C, 27.63C, 27.88C
12/25/2023 16:38:30 28.19C, 27.81C, 28.19C, 28.06C, 27.69C, 27.94C
12/25/2023 16:38:32 28.31C, 27.81C, 28.25C, 28.13C, 27.69C, 28.00C
12/25/2023 16:38:34 28.44C, 27.94C, 28.38C, 28.19C, 27.75C, 28.06C
12/25/2023 16:38:37 28.63C, 28.00C, 28.50C, 28.31C, 27.88C, 28.13C
12/25/2023 16:38:39 28.69C, 28.13C, 28.63C, 28.44C, 27.94C, 28.25C
12/25/2023 16:38:42 28.81C, 28.19C, 28.75C, 28.50C, 28.00C, 28.31C
12/25/2023 16:38:44 28.94C, 28.31C, 28.88C, 28.63C, 28.06C, 28.38C
12/25/2023 16:38:46 29.06C, 28.38C, 29.00C, 28.69C, 28.13C, 28.38C
12/25/2023 16:38:49 29.13C, 28.44C, 29.13C, 28.75C, 28.19C, 28.50C
12/25/2023 16:38:51 29.25C, 28.50C, 29.25C, 28.88C, 28.25C, 28.56C
12/25/2023 16:38:54 29.38C, 28.56C, 29.38C, 28.94C, 28.31C, 28.56C
12/25/2023 16:38:56 29.44C, 28.69C, 29.50C, 29.00C, 28.38C, 28.69C
12/25/2023 16:38:59 29.63C, 28.81C, 29.63C, 29.13C, 28.38C, 28.75C
12/25/2023 16:39:01 29.69C, 28.81C, 29.75C, 29.19C, 28.50C, 28.81C
12/25/2023 16:39:03 29.75C, 28.94C, 29.88C, 29.25C, 28.50C, 28.88C
12/25/2023 16:39:06 29.88C, 29.00C, 30.00C, 29.31C, 28.56C, 28.94C
12/25/2023 16:39:08 30.00C, 29.06C, 30.06C, 29.38C, 28.63C, 29.00C
12/25/2023 16:39:11 30.06C, 29.13C, 30.25C, 29.50C, 28.69C, 29.06C
12/25/2023 16:39:13 30.19C, 29.25C, 30.31C, 29.56C, 28.75C, 29.13C
12/25/2023 16:39:16 30.31C, 29.31C, 30.44C, 29.63C, 28.81C, 29.19C
12/25/2023 16:39:18 30.38C, 29.38C, 30.56C, 29.75C, 28.88C, 29.31C
12/25/2023 16:39:20 30.50C, 29.44C, 30.69C, 29.81C, 28.88C, 29.31C
12/25/2023 16:39:23 30.56C, 29.50C, 30.81C, 29.88C, 28.94C, 29.38C
12/25/2023 16:39:25 30.69C, 29.56C, 30.94C, 29.94C, 29.00C, 29.44C
12/25/2023 16:39:28 30.75C, 29.63C, 31.00C, 30.00C, 29.06C, 29.50C
12/25/2023 16:39:30 30.88C, 29.69C, 31.13C, 30.06C, 29.13C, 29.56C
12/25/2023 16:39:33 30.94C, 29.81C, 31.19C, 30.13C, 29.13C, 29.63C
12/25/2023 16:39:35 31.00C, 29.88C, 31.31C, 30.19C, 29.19C, 29.63C
12/25/2023 16:39:37 31.06C, 29.88C, 31.44C, 30.25C, 29.25C, 29.75C
12/25/2023 16:39:40 31.19C, 30.00C, 31.50C, 30.31C, 29.31C, 29.81C
12/25/2023 16:39:42 31.25C, 30.06C, 31.63C, 30.38C, 29.31C, 29.88C
12/25/2023 16:39:45 31.38C, 30.13C, 31.75C, 30.44C, 29.38C, 29.88C
12/25/2023 16:39:47 31.44C, 30.13C, 31.88C, 30.50C, 29.44C, 29.94C
12/25/2023 16:39:49 31.50C, 30.19C, 31.94C, 30.56C, 29.50C, 30.00C
12/25/2023 16:39:52 31.56C, 30.25C, 32.06C, 30.63C, 29.50C, 30.00C
12/25/2023 16:39:54 31.63C, 30.31C, 32.13C, 30.69C, 29.56C, 30.13C
12/25/2023 16:39:57 31.69C, 30.38C, 32.25C, 30.75C, 29.63C, 30.13C
12/25/2023 16:39:59 31.75C, 30.44C, 32.31C, 30.75C, 29.63C, 30.19C
12/25/2023 16:40:02 31.88C, 30.50C, 32.44C, 30.81C, 29.75C, 30.25C
12/25/2023 16:40:04 31.94C, 30.50C, 32.50C, 30.94C, 29.69C, 30.31C
12/25/2023 16:40:06 31.94C, 30.50C, 32.63C, 30.94C, 29.75C, 30.31C
12/25/2023 16:40:09 32.06C, 30.63C, 32.69C, 31.00C, 29.81C, 30.38C
12/25/2023 16:40:11 32.06C, 30.63C, 32.75C, 31.06C, 29.88C, 30.44C
12/25/2023 16:40:14 32.13C, 30.69C, 32.81C, 31.13C, 29.88C, 30.50C
12/25/2023 16:40:16 32.19C, 30.75C, 32.94C, 31.13C, 29.94C, 30.50C
12/25/2023 16:40:19 32.25C, 30.75C, 33.00C, 31.19C, 30.00C, 30.50C
12/25/2023 16:40:21 32.31C, 30.81C, 33.13C, 31.25C, 30.00C, 30.56C
12/25/2023 16:40:23 32.38C, 30.88C, 33.19C, 31.31C, 30.06C, 30.63C
12/25/2023 16:40:26 32.44C, 30.88C, 33.25C, 31.31C, 30.06C, 30.69C
12/25/2023 16:40:28 32.50C, 30.94C, 33.31C, 31.38C, 30.13C, 30.69C
12/25/2023 16:40:31 32.50C, 31.00C, 33.38C, 31.44C, 30.13C, 30.75C
12/25/2023 16:40:33 32.56C, 31.00C, 33.50C, 31.50C, 30.19C, 30.75C
12/25/2023 16:40:35 32.56C, 31.06C, 33.56C, 31.56C, 30.25C, 30.81C
12/25/2023 16:40:38 32.63C, 31.06C, 33.63C, 31.63C, 30.25C, 30.81C
12/25/2023 16:40:40 32.69C, 31.13C, 33.75C, 31.63C, 30.31C, 30.81C
12/25/2023 16:40:43 32.75C, 31.13C, 33.75C, 31.69C, 30.31C, 30.88C
12/25/2023 16:40:45 32.75C, 31.19C, 33.81C, 31.75C, 30.38C, 30.94C
12/25/2023 16:40:48 32.81C, 31.19C, 33.94C, 31.81C, 30.38C, 30.94C
12/25/2023 16:40:50 32.88C, 31.25C, 34.00C, 31.81C, 30.44C, 31.00C
12/25/2023 16:40:52 32.94C, 31.31C, 34.06C, 31.88C, 30.44C, 31.00C
12/25/2023 16:40:55 32.94C, 31.31C, 34.13C, 31.94C, 30.50C, 31.00C
12/25/2023 16:40:57 33.00C, 31.38C, 34.19C, 31.94C, 30.50C, 31.06C
12/25/2023 16:41:00 33.00C, 31.38C, 34.25C, 32.00C, 30.50C, 31.06C
12/25/2023 16:41:02 33.06C, 31.44C, 34.31C, 32.00C, 30.50C, 31.13C
12/25/2023 16:41:05 33.06C, 31.44C, 34.38C, 32.06C, 30.56C, 31.13C
12/25/2023 16:41:07 33.19C, 31.44C, 34.44C, 32.06C, 30.63C, 31.13C
12/25/2023 16:41:09 33.19C, 31.50C, 34.50C, 32.13C, 30.63C, 31.19C
12/25/2023 16:41:12 33.25C, 31.50C, 34.56C, 32.19C, 30.69C, 31.19C
12/25/2023 16:41:14 33.25C, 31.56C, 34.63C, 32.25C, 30.69C, 31.25C
12/25/2023 16:41:17 33.31C, 31.63C, 34.69C, 32.25C, 30.69C, 31.31C
12/25/2023 16:41:19 33.38C, 31.63C, 34.75C, 32.31C, 30.69C, 31.31C
12/25/2023 16:41:22 33.38C, 31.63C, 34.81C, 32.31C, 30.75C, 31.31C
12/25/2023 16:41:24 33.44C, 31.69C, 34.81C, 32.38C, 30.75C, 31.38C
12/25/2023 16:41:26 33.50C, 31.69C, 34.94C, 32.38C, 30.81C, 31.44C
12/25/2023 16:41:29 33.50C, 31.75C, 34.94C, 32.44C, 30.81C, 31.50C
12/25/2023 16:41:31 33.50C, 31.75C, 35.00C, 32.44C, 30.88C, 31.50C
12/25/2023 16:41:34 33.56C, 31.81C, 35.06C, 32.50C, 30.88C, 31.50C
12/25/2023 16:41:36 33.56C, 31.81C, 35.13C, 32.56C, 30.88C, 31.50C
12/25/2023 16:41:38 33.63C, 31.81C, 35.13C, 32.63C, 30.94C, 31.56C
12/25/2023 16:41:41 33.63C, 31.88C, 35.19C, 32.69C, 30.94C, 31.63C
12/25/2023 16:41:43 33.63C, 31.88C, 35.25C, 32.69C, 31.00C, 31.63C
12/25/2023 16:41:46 33.69C, 31.94C, 35.31C, 32.75C, 31.00C, 31.63C
12/25/2023 16:41:48 33.69C, 31.94C, 35.31C, 32.81C, 31.00C, 31.69C
12/25/2023 16:41:51 33.75C, 31.94C, 35.38C, 32.88C, 31.06C, 31.69C
12/25/2023 16:41:53 33.75C, 32.00C, 35.44C, 32.88C, 31.06C, 31.75C
12/25/2023 16:41:55 33.81C, 32.00C, 35.50C, 32.94C, 31.06C, 31.75C
12/25/2023 16:41:58 33.88C, 32.06C, 35.56C, 33.00C, 31.13C, 31.75C
12/25/2023 16:42:00 33.88C, 32.06C, 35.63C, 33.00C, 31.13C, 31.75C
12/25/2023 16:42:03 33.94C, 32.06C, 35.63C, 33.00C, 31.13C, 31.81C
12/25/2023 16:42:05 33.94C, 32.13C, 35.63C, 33.06C, 31.13C, 31.81C
12/25/2023 16:42:08 34.00C, 32.19C, 35.69C, 33.06C, 31.19C, 31.81C
12/25/2023 16:42:10 34.00C, 32.19C, 35.75C, 33.13C, 31.19C, 31.88C
12/25/2023 16:42:12 34.06C, 32.19C, 35.81C, 33.13C, 31.19C, 31.94C
12/25/2023 16:42:15 34.06C, 32.25C, 35.81C, 33.13C, 31.25C, 31.94C
12/25/2023 16:42:17 34.13C, 32.25C, 35.88C, 33.19C, 31.25C, 31.94C
12/25/2023 16:42:20 34.13C, 32.25C, 35.88C, 33.19C, 31.25C, 32.00C
12/25/2023 16:42:22 34.19C, 32.31C, 35.94C, 33.25C, 31.31C, 32.00C
12/25/2023 16:42:24 34.19C, 32.31C, 36.00C, 33.25C, 31.31C, 32.06C
12/25/2023 16:42:27 34.19C, 32.31C, 36.00C, 33.31C, 31.31C, 32.06C
12/25/2023 16:42:29 34.25C, 32.38C, 36.06C, 33.31C, 31.38C, 32.13C
12/25/2023 16:42:32 34.25C, 32.38C, 36.06C, 33.38C, 31.38C, 32.13C
12/25/2023 16:42:34 34.25C, 32.38C, 36.13C, 33.38C, 31.38C, 32.13C
12/25/2023 16:42:37 34.31C, 32.38C, 36.19C, 33.38C, 31.44C, 32.13C
12/25/2023 16:42:39 34.31C, 32.44C, 36.19C, 33.44C, 31.44C, 32.19C
12/25/2023 16:42:41 34.31C, 32.44C, 36.25C, 33.50C, 31.50C, 32.19C
12/25/2023 16:42:44 34.31C, 32.44C, 36.25C, 33.50C, 31.50C, 32.19C
12/25/2023 16:42:46 34.38C, 32.50C, 36.25C, 33.56C, 31.50C, 32.25C
12/25/2023 16:42:49 34.38C, 32.50C, 36.31C, 33.63C, 31.56C, 32.25C
12/25/2023 16:42:51 34.38C, 32.50C, 36.31C, 33.63C, 31.56C, 32.25C
12/25/2023 16:42:54 34.38C, 32.56C, 36.38C, 33.63C, 31.56C, 32.31C
12/25/2023 16:42:56 34.44C, 32.56C, 36.38C, 33.69C, 31.56C, 32.31C
12/25/2023 16:42:58 34.44C, 32.56C, 36.44C, 33.69C, 31.63C, 32.31C
12/25/2023 16:43:01 34.44C, 32.56C, 36.44C, 33.75C, 31.63C, 32.31C
12/25/2023 16:43:03 34.44C, 32.63C, 36.50C, 33.81C, 31.63C, 32.38C
12/25/2023 16:43:06 34.50C, 32.63C, 36.50C, 33.81C, 31.63C, 32.38C
12/25/2023 16:43:08 34.50C, 32.63C, 36.56C, 33.88C, 31.69C, 32.38C
12/25/2023 16:43:10 34.50C, 32.69C, 36.63C, 33.88C, 31.69C, 32.38C
12/25/2023 16:43:13 34.56C, 32.69C, 36.56C, 33.94C, 31.69C, 32.44C
12/25/2023 16:43:15 34.50C, 32.69C, 36.63C, 33.94C, 31.75C, 32.44C
12/25/2023 16:43:18 34.56C, 32.75C, 36.63C, 34.06C, 31.75C, 32.50C
12/25/2023 16:43:20 34.56C, 32.75C, 36.63C, 34.06C, 31.75C, 32.50C
12/25/2023 16:43:23 34.63C, 32.75C, 36.69C, 34.06C, 31.81C, 32.50C
12/25/2023 16:43:25 34.63C, 32.75C, 36.75C, 34.13C, 31.81C, 32.50C
12/25/2023 16:43:27 34.63C, 32.75C, 36.69C, 34.13C, 31.81C, 32.56C
12/25/2023 16:43:30 34.69C, 32.81C, 36.75C, 34.19C, 31.81C, 32.56C
12/25/2023 16:43:32 34.69C, 32.75C, 36.75C, 34.19C, 31.88C, 32.56C
12/25/2023 16:43:35 34.69C, 32.81C, 36.75C, 34.25C, 31.88C, 32.56C
12/25/2023 16:43:37 34.75C, 32.81C, 36.81C, 34.25C, 31.88C, 32.63C
12/25/2023 16:43:40 34.81C, 32.81C, 36.88C, 34.31C, 31.88C, 32.63C
12/25/2023 16:43:42 34.75C, 32.81C, 36.88C, 34.38C, 31.88C, 32.63C
12/25/2023 16:43:44 34.81C, 32.88C, 36.88C, 34.38C, 31.94C, 32.69C
12/25/2023 16:43:47 34.81C, 32.88C, 36.88C, 34.44C, 31.94C, 32.69C
12/25/2023 16:43:49 34.81C, 32.88C, 36.94C, 34.44C, 31.94C, 32.69C
12/25/2023 16:43:52 34.81C, 32.88C, 36.94C, 34.44C, 32.00C, 32.69C
12/25/2023 16:43:54 34.88C, 32.94C, 36.94C, 34.44C, 32.00C, 32.75C
12/25/2023 16:43:56 34.81C, 32.94C, 37.00C, 34.50C, 32.00C, 32.75C
12/25/2023 16:43:59 34.88C, 32.94C, 37.00C, 34.50C, 32.06C, 32.75C
12/25/2023 16:44:01 34.88C, 32.94C, 37.06C, 34.50C, 32.06C, 32.75C
12/25/2023 16:44:04 34.88C, 33.00C, 37.06C, 34.56C, 32.06C, 32.81C
12/25/2023 16:44:06 34.88C, 33.00C, 37.13C, 34.56C, 32.06C, 32.81C
12/25/2023 16:44:09 34.94C, 33.00C, 37.13C, 34.63C, 32.13C, 32.88C
12/25/2023 16:44:11 34.94C, 33.00C, 37.19C, 34.56C, 32.13C, 32.88C
12/25/2023 16:44:13 34.94C, 33.00C, 37.19C, 34.63C, 32.13C, 32.81C
12/25/2023 16:44:16 34.94C, 33.06C, 37.19C, 34.63C, 32.13C, 32.88C
12/25/2023 16:44:18 34.94C, 33.06C, 37.19C, 34.63C, 32.19C, 32.88C
12/25/2023 16:44:21 34.94C, 33.06C, 37.25C, 34.69C, 32.19C, 32.88C
12/25/2023 16:44:23 34.94C, 33.06C, 37.25C, 34.69C, 32.19C, 32.88C
12/25/2023 16:44:26 34.94C, 33.13C, 37.25C, 34.69C, 32.19C, 32.88C
12/25/2023 16:44:28 35.00C, 33.13C, 37.31C, 34.69C, 32.19C, 32.94C
12/25/2023 16:44:30 35.00C, 33.13C, 37.31C, 34.69C, 32.19C, 32.94C
12/25/2023 16:44:33 35.00C, 33.13C, 37.31C, 34.69C, 32.25C, 32.94C
12/25/2023 16:44:35 35.00C, 33.13C, 37.31C, 34.69C, 32.25C, 32.94C
12/25/2023 16:44:38 35.06C, 33.13C, 37.31C, 34.75C, 32.25C, 32.94C
12/25/2023 16:44:40 35.06C, 33.19C, 37.38C, 34.75C, 32.31C, 32.94C
12/25/2023 16:44:43 35.06C, 33.19C, 37.31C, 34.75C, 32.25C, 32.94C
12/25/2023 16:44:45 35.13C, 33.13C, 37.38C, 34.75C, 32.25C, 33.00C
12/25/2023 16:44:47 35.13C, 33.19C, 37.38C, 34.81C, 32.31C, 33.00C
12/25/2023 16:44:50 35.13C, 33.19C, 37.38C, 34.81C, 32.31C, 33.00C
12/25/2023 16:44:52 35.06C, 33.25C, 37.38C, 34.81C, 32.31C, 33.00C
12/25/2023 16:44:55 35.13C, 33.25C, 37.38C, 34.81C, 32.31C, 33.00C
12/25/2023 16:44:57 35.13C, 33.25C, 37.38C, 34.88C, 32.31C, 33.06C
12/25/2023 16:44:59 35.13C, 33.25C, 37.38C, 34.88C, 32.38C, 33.06C
12/25/2023 16:45:02 35.13C, 33.31C, 37.38C, 34.88C, 32.38C, 33.06C
12/25/2023 16:45:04 35.13C, 33.31C, 37.44C, 34.88C, 32.44C, 33.06C
12/25/2023 16:45:07 35.13C, 33.31C, 37.38C, 34.88C, 32.38C, 33.13C
12/25/2023 16:45:09 35.13C, 33.38C, 37.44C, 34.88C, 32.44C, 33.13C
12/25/2023 16:45:12 35.13C, 33.38C, 37.44C, 34.94C, 32.44C, 33.13C
12/25/2023 16:45:14 35.13C, 33.44C, 37.44C, 34.88C, 32.44C, 33.19C
12/25/2023 16:45:16 35.13C, 33.44C, 37.44C, 34.94C, 32.44C, 33.25C
12/25/2023 16:45:19 35.13C, 33.44C, 37.50C, 34.94C, 32.50C, 33.25C
12/25/2023 16:45:21 35.19C, 33.44C, 37.50C, 34.94C, 32.50C, 33.25C
12/25/2023 16:45:24 35.19C, 33.50C, 37.50C, 34.94C, 32.50C, 33.25C
12/25/2023 16:45:26 35.13C, 33.50C, 37.44C, 35.00C, 32.50C, 33.25C
12/25/2023 16:45:29 35.19C, 33.50C, 37.50C, 35.00C, 32.56C, 33.31C
12/25/2023 16:45:31 35.19C, 33.50C, 37.50C, 35.00C, 32.56C, 33.31C
12/25/2023 16:45:33 35.13C, 33.56C, 37.50C, 35.06C, 32.56C, 33.31C
12/25/2023 16:45:36 35.19C, 33.56C, 37.50C, 35.06C, 32.56C, 33.31C
12/25/2023 16:45:38 35.19C, 33.56C, 37.56C, 35.13C, 32.56C, 33.31C
12/25/2023 16:45:41 35.19C, 33.56C, 37.56C, 35.13C, 32.56C, 33.31C
12/25/2023 16:45:43 35.19C, 33.56C, 37.56C, 35.13C, 32.56C, 33.31C
12/25/2023 16:45:45 35.19C, 33.56C, 37.56C, 35.19C, 32.63C, 33.31C
12/25/2023 16:45:48 35.25C, 33.63C, 37.56C, 35.19C, 32.63C, 33.31C
12/25/2023 16:45:50 35.19C, 33.63C, 37.56C, 35.19C, 32.63C, 33.31C
12/25/2023 16:45:53 35.25C, 33.63C, 37.63C, 35.25C, 32.63C, 33.38C
12/25/2023 16:45:55 35.25C, 33.63C, 37.63C, 35.25C, 32.69C, 33.38C
12/25/2023 16:45:58 35.19C, 33.63C, 37.63C, 35.31C, 32.69C, 33.38C
12/25/2023 16:46:00 35.25C, 33.63C, 37.63C, 35.31C, 32.69C, 33.38C
12/25/2023 16:46:02 35.25C, 33.69C, 37.63C, 35.31C, 32.69C, 33.38C
12/25/2023 16:46:05 35.25C, 33.69C, 37.63C, 35.38C, 32.69C, 33.38C
12/25/2023 16:46:07 35.25C, 33.69C, 37.63C, 35.38C, 32.75C, 33.38C
12/25/2023 16:46:10 35.25C, 33.69C, 37.69C, 35.38C, 32.69C, 33.38C
12/25/2023 16:46:12 35.25C, 33.69C, 37.69C, 35.44C, 32.75C, 33.44C
12/25/2023 16:46:15 35.25C, 33.75C, 37.69C, 35.44C, 32.75C, 33.44C
12/25/2023 16:46:17 35.31C, 33.75C, 37.69C, 35.44C, 32.75C, 33.44C
12/25/2023 16:46:19 35.31C, 33.69C, 37.75C, 35.44C, 32.81C, 33.50C
12/25/2023 16:46:22 35.31C, 33.75C, 37.75C, 35.44C, 32.81C, 33.50C
12/25/2023 16:46:24 35.31C, 33.75C, 37.75C, 35.50C, 32.81C, 33.50C
12/25/2023 16:46:27 35.31C, 33.81C, 37.75C, 35.50C, 32.81C, 33.50C
12/25/2023 16:46:29 35.31C, 33.81C, 37.75C, 35.50C, 32.81C, 33.50C
12/25/2023 16:46:31 35.38C, 33.81C, 37.75C, 35.50C, 32.81C, 33.56C
12/25/2023 16:46:34 35.38C, 33.81C, 37.75C, 35.50C, 32.81C, 33.56C
12/25/2023 16:46:36 35.38C, 33.81C, 37.81C, 35.50C, 32.81C, 33.56C
12/25/2023 16:46:39 35.38C, 33.81C, 37.81C, 35.56C, 32.81C, 33.56C
12/25/2023 16:46:41 35.31C, 33.88C, 37.81C, 35.56C, 32.81C, 33.63C
12/25/2023 16:46:44 35.38C, 33.88C, 37.81C, 35.56C, 32.88C, 33.63C
12/25/2023 16:46:46 35.38C, 33.88C, 37.88C, 35.56C, 32.88C, 33.63C
12/25/2023 16:46:48 35.38C, 33.88C, 37.88C, 35.56C, 32.88C, 33.63C
12/25/2023 16:46:51 35.38C, 33.94C, 37.88C, 35.56C, 32.88C, 33.63C
12/25/2023 16:46:53 35.44C, 33.94C, 37.88C, 35.63C, 32.88C, 33.63C
12/25/2023 16:46:56 35.44C, 33.94C, 37.88C, 35.63C, 32.88C, 33.69C
12/25/2023 16:46:58 35.44C, 33.88C, 37.88C, 35.63C, 32.94C, 33.75C
12/25/2023 16:47:01 35.44C, 33.94C, 37.88C, 35.63C, 32.88C, 33.75C
12/25/2023 16:47:03 35.50C, 33.94C, 37.94C, 35.69C, 32.94C, 33.75C
12/25/2023 16:47:05 35.50C, 33.94C, 37.94C, 35.69C, 32.94C, 33.81C
12/25/2023 16:47:08 35.56C, 33.94C, 37.94C, 35.75C, 33.00C, 33.81C
12/25/2023 16:47:10 35.56C, 33.94C, 38.00C, 35.69C, 33.06C, 33.81C
12/25/2023 16:47:13 35.56C, 34.00C, 38.00C, 35.69C, 33.06C, 33.88C
12/25/2023 16:47:15 35.63C, 34.00C, 38.00C, 35.75C, 33.13C, 33.88C
12/25/2023 16:47:17 35.69C, 34.00C, 38.00C, 35.81C, 33.13C, 33.88C
12/25/2023 16:47:20 35.69C, 34.00C, 38.06C, 35.75C, 33.13C, 33.88C
12/25/2023 16:47:22 35.69C, 33.94C, 38.06C, 35.75C, 33.13C, 33.88C
12/25/2023 16:47:25 35.75C, 34.00C, 38.06C, 35.81C, 33.19C, 33.88C
12/25/2023 16:47:27 35.75C, 34.00C, 38.06C, 35.88C, 33.19C, 33.94C
12/25/2023 16:47:30 35.75C, 34.00C, 38.13C, 35.88C, 33.19C, 33.94C
12/25/2023 16:47:32 35.81C, 34.00C, 38.06C, 35.88C, 33.19C, 33.94C
12/25/2023 16:47:34 35.81C, 34.00C, 38.06C, 35.88C, 33.19C, 33.94C
12/25/2023 16:47:37 35.81C, 34.00C, 38.13C, 35.94C, 33.25C, 33.94C
12/25/2023 16:47:39 35.88C, 34.00C, 38.13C, 35.94C, 33.19C, 33.94C
12/25/2023 16:47:42 35.81C, 34.00C, 38.13C, 35.94C, 33.19C, 34.00C
12/25/2023 16:47:44 35.88C, 34.00C, 38.06C, 35.94C, 33.25C, 34.00C
12/25/2023 16:47:47 35.81C, 34.00C, 38.13C, 36.00C, 33.25C, 34.00C
12/25/2023 16:47:49 35.88C, 34.00C, 38.13C, 36.00C, 33.25C, 34.00C
12/25/2023 16:47:51 35.81C, 34.00C, 38.13C, 35.94C, 33.25C, 34.00C
12/25/2023 16:47:54 35.88C, 34.06C, 38.13C, 35.94C, 33.31C, 34.06C
12/25/2023 16:47:56 35.88C, 34.00C, 38.13C, 35.94C, 33.25C, 34.06C
12/25/2023 16:47:59 35.88C, 34.06C, 38.19C, 35.94C, 33.25C, 34.06C
12/25/2023 16:48:01 35.88C, 34.06C, 38.13C, 35.94C, 33.31C, 34.06C
12/25/2023 16:48:03 35.88C, 34.06C, 38.19C, 35.94C, 33.25C, 34.06C
12/25/2023 16:48:06 35.94C, 34.06C, 38.19C, 35.94C, 33.25C, 34.06C
12/25/2023 16:48:08 35.94C, 34.13C, 38.19C, 35.94C, 33.25C, 34.06C
12/25/2023 16:48:11 35.94C, 34.13C, 38.19C, 35.88C, 33.25C, 34.06C
