01/11/2024 01:58:38 23.75C, 22.50C, 24.00C, 23.44C, 23.50C, 23.38C
01/11/2024 02:03:34 31.19C, 30.56C, 31.25C, 31.75C, 32.00C, 28.56C
01/11/2024 02:03:36 31.25C, 30.56C, 31.31C, 31.75C, 32.00C, 28.56C
01/11/2024 02:03:38 31.25C, 30.63C, 31.31C, 31.81C, 32.06C, 28.63C
01/11/2024 02:03:41 31.25C, 30.63C, 31.38C, 31.88C, 32.06C, 28.63C
01/11/2024 02:03:43 31.31C, 30.63C, 31.38C, 31.88C, 32.06C, 28.63C
01/11/2024 02:03:46 31.25C, 30.63C, 31.44C, 31.94C, 32.13C, 28.63C
01/11/2024 02:03:48 31.31C, 30.69C, 31.44C, 31.94C, 32.19C, 28.69C
01/11/2024 02:03:51 31.31C, 30.75C, 31.44C, 32.00C, 32.19C, 28.69C
01/11/2024 02:03:53 31.38C, 30.75C, 31.44C, 32.00C, 32.19C, 28.75C
01/11/2024 02:03:55 31.44C, 30.81C, 31.44C, 32.06C, 32.19C, 28.75C
01/11/2024 02:03:58 31.44C, 30.81C, 31.50C, 32.06C, 32.25C, 28.75C
01/11/2024 02:04:00 31.44C, 30.88C, 31.50C, 32.06C, 32.31C, 28.75C
01/11/2024 02:04:03 31.44C, 30.88C, 31.56C, 32.13C, 32.31C, 28.75C
01/11/2024 02:04:05 31.50C, 30.88C, 31.56C, 32.13C, 32.31C, 28.81C
01/11/2024 02:04:07 31.50C, 30.94C, 31.63C, 32.13C, 32.31C, 28.81C
01/11/2024 02:04:10 31.50C, 30.94C, 31.63C, 32.19C, 32.38C, 28.81C
01/11/2024 02:04:12 31.56C, 31.00C, 31.63C, 32.19C, 32.38C, 28.81C
01/11/2024 02:04:15 31.56C, 31.00C, 31.69C, 32.19C, 32.38C, 28.88C
01/11/2024 02:04:17 31.56C, 31.00C, 31.69C, 32.19C, 32.44C, 28.88C
01/11/2024 02:04:20 31.56C, 31.00C, 31.69C, 32.19C, 32.44C, 28.88C
01/11/2024 02:04:22 31.63C, 31.06C, 31.69C, 32.25C, 32.44C, 28.88C
01/11/2024 02:04:24 31.63C, 31.06C, 31.75C, 32.25C, 32.50C, 28.88C
01/11/2024 02:04:27 31.63C, 31.06C, 31.75C, 32.31C, 32.50C, 28.94C
01/11/2024 02:04:29 31.63C, 31.13C, 31.81C, 32.31C, 32.56C, 28.94C
01/11/2024 02:04:32 31.63C, 31.13C, 31.81C, 32.31C, 32.56C, 28.94C
01/11/2024 02:04:34 31.69C, 31.19C, 31.81C, 32.38C, 32.56C, 28.94C
01/11/2024 02:04:36 31.69C, 31.19C, 31.81C, 32.38C, 32.63C, 28.94C
01/11/2024 02:04:39 31.69C, 31.19C, 31.88C, 32.38C, 32.63C, 28.94C
01/11/2024 02:04:41 31.69C, 31.19C, 31.94C, 32.38C, 32.63C, 29.00C
01/11/2024 02:04:44 31.69C, 31.25C, 31.94C, 32.44C, 32.63C, 29.00C
01/11/2024 02:04:46 31.75C, 31.31C, 31.94C, 32.44C, 32.69C, 29.00C
01/11/2024 02:04:49 31.75C, 31.31C, 31.94C, 32.44C, 32.69C, 29.00C
01/11/2024 02:04:51 31.81C, 31.31C, 31.94C, 32.50C, 32.69C, 29.00C
01/11/2024 02:04:53 31.81C, 31.38C, 31.94C, 32.50C, 32.69C, 29.00C
01/11/2024 02:04:56 31.81C, 31.38C, 32.00C, 32.50C, 32.75C, 29.06C
01/11/2024 02:04:58 31.81C, 31.38C, 32.00C, 32.56C, 32.75C, 29.06C
01/11/2024 02:05:01 31.81C, 31.44C, 32.00C, 32.56C, 32.75C, 29.06C
01/11/2024 02:05:03 31.81C, 31.44C, 32.06C, 32.56C, 32.75C, 29.06C
01/11/2024 02:05:06 31.81C, 31.44C, 32.06C, 32.56C, 32.81C, 29.06C
01/11/2024 02:05:08 31.81C, 31.50C, 32.06C, 32.63C, 32.81C, 29.06C
01/11/2024 02:05:10 31.81C, 31.50C, 32.06C, 32.63C, 32.81C, 29.13C
01/11/2024 02:05:13 31.81C, 31.50C, 32.13C, 32.69C, 32.81C, 29.13C
01/11/2024 02:05:15 31.88C, 31.50C, 32.13C, 32.69C, 32.81C, 29.13C
01/11/2024 02:05:18 31.81C, 31.56C, 32.13C, 32.69C, 32.81C, 29.13C
01/11/2024 02:05:20 31.88C, 31.56C, 32.19C, 32.69C, 32.81C, 29.13C
01/11/2024 02:05:22 31.88C, 31.56C, 32.19C, 32.75C, 32.88C, 29.13C
01/11/2024 02:05:25 31.88C, 31.56C, 32.19C, 32.75C, 32.88C, 29.13C
01/11/2024 02:05:27 31.88C, 31.63C, 32.19C, 32.75C, 32.88C, 29.13C
01/11/2024 02:05:30 31.88C, 31.63C, 32.19C, 32.81C, 32.81C, 29.19C
01/11/2024 02:05:32 31.94C, 31.63C, 32.25C, 32.81C, 32.88C, 29.19C
01/11/2024 02:05:35 31.94C, 31.69C, 32.25C, 32.81C, 32.88C, 29.25C
01/11/2024 02:05:37 31.94C, 31.69C, 32.25C, 32.88C, 32.88C, 29.19C
01/11/2024 02:05:39 31.88C, 31.75C, 32.25C, 32.81C, 32.88C, 29.19C
01/11/2024 02:05:42 31.94C, 31.75C, 32.25C, 32.88C, 32.88C, 29.19C
01/11/2024 02:05:44 31.94C, 31.75C, 32.25C, 32.88C, 32.94C, 29.25C
01/11/2024 02:05:47 31.94C, 31.75C, 32.31C, 32.88C, 32.94C, 29.25C
01/11/2024 02:05:49 31.88C, 31.75C, 32.31C, 32.88C, 32.94C, 29.25C
01/11/2024 02:05:52 31.94C, 31.75C, 32.31C, 32.94C, 32.94C, 29.25C
01/11/2024 02:05:54 31.94C, 31.75C, 32.31C, 32.94C, 33.00C, 29.25C
01/11/2024 02:05:56 32.00C, 31.81C, 32.38C, 32.94C, 33.00C, 29.25C
01/11/2024 02:05:59 32.00C, 31.81C, 32.38C, 32.94C, 32.94C, 29.25C
01/11/2024 02:06:01 32.00C, 31.81C, 32.38C, 33.00C, 33.00C, 29.25C
01/11/2024 02:06:04 32.00C, 31.88C, 32.38C, 33.00C, 33.00C, 29.25C
01/11/2024 02:06:06 32.00C, 31.88C, 32.38C, 33.00C, 33.00C, 29.25C
01/11/2024 02:06:08 32.06C, 31.88C, 32.38C, 33.00C, 33.00C, 29.31C
01/11/2024 02:06:11 32.06C, 31.88C, 32.38C, 33.00C, 33.00C, 29.31C
01/11/2024 02:06:13 32.06C, 31.88C, 32.38C, 33.06C, 33.06C, 29.31C
01/11/2024 02:06:16 32.06C, 31.94C, 32.44C, 33.06C, 33.06C, 29.31C
01/11/2024 02:06:18 32.06C, 31.94C, 32.44C, 33.06C, 33.06C, 29.31C
01/11/2024 02:06:21 32.06C, 31.94C, 32.44C, 33.06C, 33.06C, 29.31C
01/11/2024 02:06:23 32.13C, 31.94C, 32.44C, 33.13C, 33.00C, 29.38C
01/11/2024 02:06:25 32.13C, 32.00C, 32.50C, 33.13C, 33.06C, 29.38C
01/11/2024 02:06:28 32.13C, 31.94C, 32.50C, 33.13C, 33.06C, 29.38C
01/11/2024 02:06:30 32.13C, 32.00C, 32.50C, 33.13C, 33.00C, 29.38C
01/11/2024 02:06:33 32.19C, 32.00C, 32.50C, 33.19C, 33.06C, 29.38C
01/11/2024 02:06:35 32.19C, 32.00C, 32.50C, 33.19C, 33.06C, 29.38C
01/11/2024 02:06:37 32.19C, 32.06C, 32.50C, 33.19C, 33.00C, 29.38C
01/11/2024 02:06:40 32.19C, 32.00C, 32.50C, 33.25C, 33.06C, 29.38C
01/11/2024 02:06:42 32.19C, 32.00C, 32.50C, 33.25C, 33.00C, 29.44C
01/11/2024 02:06:45 32.19C, 32.06C, 32.50C, 33.25C, 33.06C, 29.44C
01/11/2024 02:06:47 32.19C, 32.06C, 32.50C, 33.25C, 33.00C, 29.38C
01/11/2024 02:06:50 32.19C, 32.06C, 32.50C, 33.25C, 33.06C, 29.44C
01/11/2024 02:06:52 32.19C, 32.06C, 32.56C, 33.31C, 33.06C, 29.44C
01/11/2024 02:06:54 32.19C, 32.06C, 32.50C, 33.31C, 33.00C, 29.44C
01/11/2024 02:06:57 32.19C, 32.06C, 32.56C, 33.31C, 33.06C, 29.44C
01/11/2024 02:06:59 32.19C, 32.06C, 32.56C, 33.38C, 33.00C, 29.44C
01/11/2024 02:07:02 32.25C, 32.06C, 32.56C, 33.38C, 33.06C, 29.44C
01/11/2024 02:07:04 32.25C, 32.06C, 32.56C, 33.38C, 33.06C, 29.44C
01/11/2024 02:07:07 32.25C, 32.06C, 32.56C, 33.38C, 33.06C, 29.44C
01/11/2024 02:07:09 32.19C, 32.06C, 32.56C, 33.38C, 33.06C, 29.44C
01/11/2024 02:07:11 32.25C, 32.13C, 32.56C, 33.38C, 33.06C, 29.50C
01/11/2024 02:07:14 32.25C, 32.13C, 32.56C, 33.44C, 33.13C, 29.50C
01/11/2024 02:07:16 32.25C, 32.13C, 32.56C, 33.38C, 33.13C, 29.44C
01/11/2024 02:07:19 32.25C, 32.13C, 32.56C, 33.38C, 33.13C, 29.50C
01/11/2024 02:07:21 32.31C, 32.13C, 32.56C, 33.38C, 33.13C, 29.50C
01/11/2024 02:07:23 32.25C, 32.13C, 32.56C, 33.44C, 33.13C, 29.50C
01/11/2024 02:07:26 32.25C, 32.13C, 32.56C, 33.38C, 33.19C, 29.50C
01/11/2024 02:07:28 32.31C, 32.13C, 32.56C, 33.38C, 33.13C, 29.50C
01/11/2024 02:07:31 32.25C, 32.13C, 32.56C, 33.44C, 33.19C, 29.50C
01/11/2024 02:07:33 32.25C, 32.13C, 32.63C, 33.38C, 33.19C, 29.50C
01/11/2024 02:07:36 32.25C, 32.13C, 32.63C, 33.38C, 33.13C, 29.50C
01/11/2024 02:07:38 32.25C, 32.13C, 32.63C, 33.44C, 33.13C, 29.50C
01/11/2024 02:07:40 32.25C, 32.13C, 32.63C, 33.44C, 33.13C, 29.50C
01/11/2024 02:07:43 32.25C, 32.13C, 32.63C, 33.44C, 33.19C, 29.50C
01/11/2024 02:07:45 32.31C, 32.13C, 32.63C, 33.44C, 33.19C, 29.50C
01/11/2024 02:07:48 32.31C, 32.19C, 32.63C, 33.44C, 33.19C, 29.50C
01/11/2024 02:07:50 32.31C, 32.13C, 32.63C, 33.50C, 33.19C, 29.50C
01/11/2024 02:07:52 32.31C, 32.13C, 32.63C, 33.44C, 33.19C, 29.50C
01/11/2024 02:07:55 32.31C, 32.13C, 32.63C, 33.44C, 33.19C, 29.50C
01/11/2024 02:07:57 32.31C, 32.13C, 32.63C, 33.50C, 33.19C, 29.50C
01/11/2024 02:08:00 32.25C, 32.19C, 32.63C, 33.50C, 33.19C, 29.50C
01/11/2024 02:08:02 32.25C, 32.13C, 32.63C, 33.50C, 33.19C, 29.56C
01/11/2024 02:08:05 32.31C, 32.13C, 32.69C, 33.50C, 33.19C, 29.56C
01/11/2024 02:08:07 32.31C, 32.13C, 32.63C, 33.50C, 33.19C, 29.50C
01/11/2024 02:08:09 32.31C, 32.19C, 32.63C, 33.50C, 33.19C, 29.56C
01/11/2024 02:08:12 32.31C, 32.19C, 32.69C, 33.50C, 33.19C, 29.56C
01/11/2024 02:08:14 32.31C, 32.19C, 32.69C, 33.56C, 33.25C, 29.56C
01/11/2024 02:08:17 32.31C, 32.19C, 32.63C, 33.56C, 33.25C, 29.56C
01/11/2024 02:08:19 32.31C, 32.19C, 32.63C, 33.56C, 33.25C, 29.56C
01/11/2024 02:08:22 32.31C, 32.19C, 32.63C, 33.56C, 33.25C, 29.56C
01/11/2024 02:08:24 32.31C, 32.19C, 32.63C, 33.56C, 33.25C, 29.56C
01/11/2024 02:08:26 32.31C, 32.19C, 32.69C, 33.56C, 33.25C, 29.56C
01/11/2024 02:08:29 32.31C, 32.19C, 32.69C, 33.56C, 33.25C, 29.56C
01/11/2024 02:08:31 32.25C, 32.19C, 32.69C, 33.56C, 33.25C, 29.56C
01/11/2024 02:08:34 32.25C, 32.19C, 32.69C, 33.56C, 33.25C, 29.56C
01/11/2024 02:08:36 32.31C, 32.19C, 32.69C, 33.56C, 33.31C, 29.56C
01/11/2024 02:08:38 32.31C, 32.19C, 32.69C, 33.56C, 33.31C, 29.56C
01/11/2024 02:08:41 32.25C, 32.25C, 32.69C, 33.56C, 33.31C, 29.56C
01/11/2024 02:08:43 32.31C, 32.19C, 32.69C, 33.56C, 33.31C, 29.56C
01/11/2024 02:08:46 32.31C, 32.25C, 32.69C, 33.56C, 33.31C, 29.56C
01/11/2024 02:08:48 32.25C, 32.19C, 32.69C, 33.56C, 33.31C, 29.56C
01/11/2024 02:08:51 32.31C, 32.25C, 32.69C, 33.63C, 33.31C, 29.56C
01/11/2024 02:08:53 32.31C, 32.25C, 32.69C, 33.56C, 33.31C, 29.56C
01/11/2024 02:08:55 32.25C, 32.25C, 32.69C, 33.56C, 33.31C, 29.56C
01/11/2024 02:08:58 32.31C, 32.25C, 32.69C, 33.63C, 33.31C, 29.56C
01/11/2024 02:09:00 32.31C, 32.25C, 32.69C, 33.56C, 33.38C, 29.56C
01/11/2024 02:09:03 32.31C, 32.25C, 32.69C, 33.63C, 33.38C, 29.56C
01/11/2024 02:09:05 32.31C, 32.31C, 32.69C, 33.56C, 33.38C, 29.56C
01/11/2024 02:09:08 32.31C, 32.31C, 32.69C, 33.56C, 33.38C, 29.56C
01/11/2024 02:09:10 32.31C, 32.25C, 32.69C, 33.56C, 33.38C, 29.56C
01/11/2024 02:09:12 32.31C, 32.31C, 32.69C, 33.63C, 33.44C, 29.56C
01/11/2024 02:09:15 32.31C, 32.31C, 32.75C, 33.63C, 33.44C, 29.56C
01/11/2024 02:09:17 32.31C, 32.31C, 32.75C, 33.56C, 33.44C, 29.56C
01/11/2024 02:09:20 32.31C, 32.38C, 32.75C, 33.56C, 33.44C, 29.56C
01/11/2024 02:09:22 32.31C, 32.31C, 32.75C, 33.56C, 33.44C, 29.56C
01/11/2024 02:09:24 32.31C, 32.38C, 32.75C, 33.56C, 33.44C, 29.50C
01/11/2024 02:09:27 32.31C, 32.38C, 32.75C, 33.56C, 33.44C, 29.50C
01/11/2024 02:09:29 32.38C, 32.38C, 32.81C, 33.56C, 33.44C, 29.50C
01/11/2024 02:09:32 32.31C, 32.38C, 32.81C, 33.63C, 33.44C, 29.50C
01/11/2024 02:09:34 32.38C, 32.38C, 32.81C, 33.63C, 33.44C, 29.50C
01/11/2024 02:09:37 32.38C, 32.38C, 32.81C, 33.63C, 33.50C, 29.50C
01/11/2024 02:09:39 32.38C, 32.38C, 32.81C, 33.63C, 33.44C, 29.50C
01/11/2024 02:09:41 32.38C, 32.38C, 32.81C, 33.63C, 33.44C, 29.56C
01/11/2024 02:09:44 32.38C, 32.44C, 32.81C, 33.63C, 33.50C, 29.56C
01/11/2024 02:09:46 32.38C, 32.44C, 32.81C, 33.63C, 33.44C, 29.56C
01/11/2024 02:09:49 32.38C, 32.38C, 32.88C, 33.63C, 33.44C, 29.56C
01/11/2024 02:09:51 32.38C, 32.38C, 32.81C, 33.63C, 33.44C, 29.56C
01/11/2024 02:09:53 32.38C, 32.38C, 32.88C, 33.63C, 33.44C, 29.56C
01/11/2024 02:09:56 32.38C, 32.38C, 32.88C, 33.69C, 33.50C, 29.56C
01/11/2024 02:09:58 32.44C, 32.38C, 32.88C, 33.69C, 33.50C, 29.56C
01/11/2024 02:10:01 32.44C, 32.44C, 32.88C, 33.69C, 33.50C, 29.56C
01/11/2024 02:10:03 32.44C, 32.38C, 32.88C, 33.69C, 33.44C, 29.56C
01/11/2024 02:10:06 32.44C, 32.38C, 32.88C, 33.69C, 33.50C, 29.56C
01/11/2024 02:10:08 32.50C, 32.44C, 32.88C, 33.69C, 33.50C, 29.56C
01/11/2024 02:10:10 32.44C, 32.44C, 32.88C, 33.75C, 33.50C, 29.63C
01/11/2024 02:10:13 32.50C, 32.38C, 32.88C, 33.69C, 33.50C, 29.56C
01/11/2024 02:10:15 32.50C, 32.38C, 32.88C, 33.69C, 33.50C, 29.56C
01/11/2024 02:10:18 32.50C, 32.44C, 32.88C, 33.69C, 33.50C, 29.56C
