01/11/2024 19:19:54 25.75C, 26.06C, 25.19C, 26.94C, 25.94C, 26.13C
01/11/2024 19:26:05 32.38C, 31.25C, 31.25C, 31.88C, 33.69C, 32.25C
01/11/2024 19:26:07 32.38C, 31.25C, 31.25C, 31.94C, 33.75C, 32.31C
01/11/2024 19:26:10 32.44C, 31.31C, 31.25C, 31.94C, 33.75C, 32.31C
01/11/2024 19:26:12 32.44C, 31.31C, 31.25C, 31.94C, 33.81C, 32.38C
01/11/2024 19:26:14 32.44C, 31.31C, 31.31C, 32.00C, 33.81C, 32.38C
01/11/2024 19:26:17 32.50C, 31.31C, 31.31C, 32.00C, 33.88C, 32.44C
01/11/2024 19:26:19 32.56C, 31.38C, 31.38C, 32.00C, 33.94C, 32.44C
01/11/2024 19:26:22 32.56C, 31.38C, 31.38C, 32.06C, 33.94C, 32.44C
01/11/2024 19:26:24 32.63C, 31.38C, 31.38C, 32.06C, 34.00C, 32.50C
01/11/2024 19:26:27 32.63C, 31.44C, 31.44C, 32.06C, 34.06C, 32.50C
01/11/2024 19:26:29 32.69C, 31.44C, 31.44C, 32.06C, 34.06C, 32.50C
01/11/2024 19:26:31 32.69C, 31.44C, 31.50C, 32.13C, 34.13C, 32.56C
01/11/2024 19:26:34 32.75C, 31.50C, 31.50C, 32.13C, 34.13C, 32.56C
01/11/2024 19:26:36 32.75C, 31.44C, 31.50C, 32.19C, 34.19C, 32.56C
01/11/2024 19:26:39 32.75C, 31.50C, 31.56C, 32.19C, 34.19C, 32.63C
01/11/2024 19:26:41 32.81C, 31.50C, 31.56C, 32.19C, 34.25C, 32.63C
01/11/2024 19:26:44 32.81C, 31.50C, 31.63C, 32.19C, 34.25C, 32.63C
01/11/2024 19:26:46 32.88C, 31.50C, 31.63C, 32.19C, 34.31C, 32.63C
01/11/2024 19:26:48 32.88C, 31.56C, 31.63C, 32.25C, 34.31C, 32.69C
01/11/2024 19:26:51 32.94C, 31.56C, 31.69C, 32.31C, 34.38C, 32.69C
01/11/2024 19:26:53 32.94C, 31.56C, 31.69C, 32.25C, 34.38C, 32.75C
01/11/2024 19:26:56 32.94C, 31.56C, 31.69C, 32.31C, 34.44C, 32.69C
01/11/2024 19:26:58 33.00C, 31.56C, 31.75C, 32.31C, 34.44C, 32.75C
01/11/2024 19:27:00 33.00C, 31.63C, 31.75C, 32.31C, 34.50C, 32.75C
01/11/2024 19:27:03 33.06C, 31.63C, 31.75C, 32.31C, 34.50C, 32.75C
01/11/2024 19:27:05 33.06C, 31.63C, 31.75C, 32.38C, 34.56C, 32.75C
01/11/2024 19:27:08 33.13C, 31.63C, 31.81C, 32.38C, 34.56C, 32.75C
01/11/2024 19:27:10 33.13C, 31.69C, 31.81C, 32.38C, 34.63C, 32.81C
01/11/2024 19:27:13 33.13C, 31.63C, 31.81C, 32.38C, 34.63C, 32.81C
01/11/2024 19:27:15 33.19C, 31.69C, 31.88C, 32.38C, 34.69C, 32.81C
01/11/2024 19:27:17 33.19C, 31.69C, 31.88C, 32.38C, 34.69C, 32.81C
01/11/2024 19:27:20 33.25C, 31.75C, 31.88C, 32.44C, 34.69C, 32.81C
01/11/2024 19:27:22 33.25C, 31.69C, 31.94C, 32.44C, 34.69C, 32.88C
01/11/2024 19:27:25 33.31C, 31.69C, 31.94C, 32.44C, 34.75C, 32.88C
01/11/2024 19:27:27 33.31C, 31.75C, 31.94C, 32.50C, 34.75C, 32.88C
01/11/2024 19:27:29 33.31C, 31.75C, 32.00C, 32.50C, 34.81C, 32.88C
01/11/2024 19:27:32 33.38C, 31.75C, 32.00C, 32.44C, 34.81C, 32.94C
01/11/2024 19:27:34 33.38C, 31.75C, 32.06C, 32.50C, 34.81C, 32.94C
01/11/2024 19:27:37 33.38C, 31.81C, 32.06C, 32.50C, 34.81C, 32.94C
01/11/2024 19:27:39 33.44C, 31.81C, 32.06C, 32.50C, 34.88C, 33.00C
01/11/2024 19:27:42 33.44C, 31.81C, 32.13C, 32.50C, 34.88C, 32.94C
01/11/2024 19:27:44 33.44C, 31.81C, 32.13C, 32.50C, 34.88C, 33.00C
01/11/2024 19:27:46 33.50C, 31.81C, 32.13C, 32.50C, 34.88C, 33.00C
01/11/2024 19:27:49 33.44C, 31.88C, 32.13C, 32.56C, 34.94C, 33.00C
01/11/2024 19:27:51 33.50C, 31.88C, 32.13C, 32.56C, 34.94C, 33.00C
01/11/2024 19:27:54 33.50C, 31.88C, 32.19C, 32.56C, 34.94C, 33.00C
01/11/2024 19:27:56 33.56C, 31.88C, 32.19C, 32.56C, 35.00C, 33.00C
01/11/2024 19:27:59 33.56C, 31.88C, 32.19C, 32.56C, 35.00C, 33.00C
01/11/2024 19:28:01 33.56C, 31.88C, 32.25C, 32.63C, 35.06C, 33.00C
01/11/2024 19:28:03 33.63C, 31.88C, 32.25C, 32.56C, 35.00C, 33.06C
01/11/2024 19:28:06 33.63C, 31.94C, 32.25C, 32.56C, 35.06C, 33.06C
01/11/2024 19:28:08 33.63C, 31.94C, 32.31C, 32.56C, 35.06C, 33.06C
01/11/2024 19:28:11 33.63C, 31.88C, 32.25C, 32.63C, 35.13C, 33.06C
01/11/2024 19:28:13 33.69C, 31.94C, 32.31C, 32.56C, 35.13C, 33.06C
01/11/2024 19:28:15 33.69C, 31.94C, 32.31C, 32.63C, 35.13C, 33.06C
01/11/2024 19:28:18 33.75C, 31.94C, 32.31C, 32.63C, 35.13C, 33.06C
01/11/2024 19:28:20 33.75C, 32.00C, 32.31C, 32.63C, 35.19C, 33.06C
01/11/2024 19:28:23 33.69C, 32.00C, 32.38C, 32.63C, 35.19C, 33.13C
01/11/2024 19:28:25 33.75C, 32.00C, 32.38C, 32.63C, 35.19C, 33.13C
01/11/2024 19:28:28 33.75C, 32.00C, 32.38C, 32.69C, 35.19C, 33.13C
01/11/2024 19:28:30 33.75C, 32.00C, 32.38C, 32.69C, 35.25C, 33.13C
01/11/2024 19:28:32 33.81C, 32.00C, 32.44C, 32.69C, 35.25C, 33.13C
01/11/2024 19:28:35 33.81C, 32.00C, 32.44C, 32.69C, 35.25C, 33.13C
01/11/2024 19:28:37 33.81C, 32.00C, 32.44C, 32.69C, 35.25C, 33.13C
01/11/2024 19:28:40 33.88C, 32.06C, 32.44C, 32.75C, 35.31C, 33.19C
01/11/2024 19:28:42 33.88C, 32.06C, 32.44C, 32.69C, 35.31C, 33.19C
01/11/2024 19:28:45 33.88C, 32.06C, 32.50C, 32.75C, 35.31C, 33.19C
01/11/2024 19:28:47 33.88C, 32.06C, 32.50C, 32.75C, 35.38C, 33.19C
01/11/2024 19:28:49 33.88C, 32.06C, 32.50C, 32.75C, 35.38C, 33.19C
01/11/2024 19:28:52 33.94C, 32.06C, 32.50C, 32.81C, 35.38C, 33.25C
01/11/2024 19:28:54 33.94C, 32.13C, 32.50C, 32.75C, 35.38C, 33.25C
01/11/2024 19:28:57 33.94C, 32.13C, 32.50C, 32.75C, 35.44C, 33.25C
01/11/2024 19:28:59 33.94C, 32.13C, 32.56C, 32.81C, 35.44C, 33.25C
01/11/2024 19:29:01 34.00C, 32.13C, 32.56C, 32.81C, 35.44C, 33.25C
01/11/2024 19:29:04 34.00C, 32.13C, 32.56C, 32.81C, 35.50C, 33.25C
01/11/2024 19:29:06 34.00C, 32.13C, 32.56C, 32.81C, 35.50C, 33.25C
01/11/2024 19:29:09 34.06C, 32.19C, 32.56C, 32.81C, 35.56C, 33.31C
01/11/2024 19:29:11 34.06C, 32.19C, 32.56C, 32.88C, 35.50C, 33.25C
01/11/2024 19:29:14 34.06C, 32.19C, 32.56C, 32.81C, 35.56C, 33.31C
01/11/2024 19:29:16 34.13C, 32.19C, 32.56C, 32.81C, 35.56C, 33.31C
01/11/2024 19:29:18 34.13C, 32.19C, 32.56C, 32.81C, 35.56C, 33.31C
01/11/2024 19:29:21 34.13C, 32.19C, 32.63C, 32.88C, 35.56C, 33.31C
01/11/2024 19:29:23 34.13C, 32.13C, 32.63C, 32.88C, 35.56C, 33.31C
01/11/2024 19:29:26 34.13C, 32.19C, 32.63C, 32.88C, 35.56C, 33.31C
01/11/2024 19:29:28 34.13C, 32.19C, 32.63C, 32.88C, 35.63C, 33.31C
01/11/2024 19:29:30 34.13C, 32.19C, 32.63C, 32.88C, 35.63C, 33.31C
01/11/2024 19:29:33 34.19C, 32.19C, 32.63C, 32.88C, 35.69C, 33.38C
01/11/2024 19:29:35 34.19C, 32.19C, 32.63C, 32.88C, 35.69C, 33.38C
01/11/2024 19:29:38 34.19C, 32.19C, 32.63C, 32.88C, 35.69C, 33.38C
01/11/2024 19:29:40 34.25C, 32.19C, 32.63C, 32.88C, 35.69C, 33.38C
01/11/2024 19:29:43 34.25C, 32.25C, 32.63C, 32.94C, 35.69C, 33.38C
01/11/2024 19:29:45 34.25C, 32.19C, 32.63C, 32.94C, 35.69C, 33.38C
01/11/2024 19:29:47 34.25C, 32.25C, 32.69C, 32.94C, 35.75C, 33.44C
01/11/2024 19:29:50 34.25C, 32.25C, 32.69C, 32.94C, 35.75C, 33.44C
01/11/2024 19:29:52 34.31C, 32.25C, 32.69C, 32.94C, 35.75C, 33.44C
01/11/2024 19:29:55 34.31C, 32.25C, 32.69C, 33.00C, 35.81C, 33.44C
01/11/2024 19:29:57 34.31C, 32.25C, 32.69C, 32.94C, 35.81C, 33.50C
01/11/2024 19:30:00 34.31C, 32.25C, 32.69C, 33.00C, 35.81C, 33.50C
01/11/2024 19:30:02 34.31C, 32.25C, 32.69C, 33.00C, 35.81C, 33.50C
01/11/2024 19:30:04 34.38C, 32.25C, 32.69C, 33.00C, 35.81C, 33.50C
01/11/2024 19:30:07 34.38C, 32.25C, 32.69C, 33.00C, 35.88C, 33.50C
01/11/2024 19:30:09 34.38C, 32.31C, 32.75C, 33.00C, 35.88C, 33.50C
01/11/2024 19:30:12 34.38C, 32.31C, 32.75C, 33.00C, 35.88C, 33.50C
01/11/2024 19:30:14 34.44C, 32.31C, 32.75C, 33.06C, 35.88C, 33.56C
01/11/2024 19:30:16 34.38C, 32.31C, 32.75C, 33.00C, 35.94C, 33.56C
01/11/2024 19:30:19 34.44C, 32.31C, 32.81C, 33.06C, 35.94C, 33.56C
01/11/2024 19:30:21 34.44C, 32.31C, 32.75C, 33.06C, 35.94C, 33.63C
01/11/2024 19:30:24 34.44C, 32.31C, 32.75C, 33.06C, 35.94C, 33.63C
01/11/2024 19:30:26 34.44C, 32.31C, 32.75C, 33.13C, 36.00C, 33.63C
01/11/2024 19:30:29 34.44C, 32.31C, 32.75C, 33.06C, 36.00C, 33.63C
01/11/2024 19:30:31 34.44C, 32.38C, 32.81C, 33.06C, 36.00C, 33.63C
01/11/2024 19:30:33 34.44C, 32.38C, 32.75C, 33.13C, 36.00C, 33.63C
01/11/2024 19:30:36 34.44C, 32.38C, 32.75C, 33.13C, 36.00C, 33.63C
01/11/2024 19:30:38 34.44C, 32.38C, 32.81C, 33.13C, 36.06C, 33.63C
01/11/2024 19:30:41 34.50C, 32.38C, 32.81C, 33.13C, 36.00C, 33.63C
01/11/2024 19:30:43 34.50C, 32.38C, 32.81C, 33.13C, 36.00C, 33.69C
01/11/2024 19:30:46 34.50C, 32.38C, 32.81C, 33.13C, 36.06C, 33.69C
01/11/2024 19:30:48 34.50C, 32.44C, 32.81C, 33.13C, 36.06C, 33.69C
01/11/2024 19:30:50 34.50C, 32.44C, 32.81C, 33.13C, 36.06C, 33.63C
01/11/2024 19:30:53 34.50C, 32.44C, 32.81C, 33.19C, 36.06C, 33.63C
01/11/2024 19:30:55 34.50C, 32.44C, 32.88C, 33.13C, 36.06C, 33.69C
01/11/2024 19:30:58 34.50C, 32.44C, 32.88C, 33.13C, 36.06C, 33.69C
01/11/2024 19:31:00 34.50C, 32.44C, 32.88C, 33.13C, 36.06C, 33.69C
01/11/2024 19:31:02 34.50C, 32.44C, 32.88C, 33.19C, 36.06C, 33.69C
01/11/2024 19:31:05 34.50C, 32.44C, 32.88C, 33.19C, 36.13C, 33.69C
01/11/2024 19:31:07 34.50C, 32.44C, 32.88C, 33.19C, 36.06C, 33.69C
01/11/2024 19:31:10 34.50C, 32.44C, 32.94C, 33.19C, 36.13C, 33.69C
01/11/2024 19:31:12 34.50C, 32.50C, 32.94C, 33.19C, 36.06C, 33.69C
01/11/2024 19:31:15 34.50C, 32.50C, 32.94C, 33.19C, 36.06C, 33.75C
01/11/2024 19:31:17 34.50C, 32.50C, 32.88C, 33.19C, 36.13C, 33.69C
01/11/2024 19:31:19 34.50C, 32.50C, 32.94C, 33.19C, 36.13C, 33.69C
01/11/2024 19:31:22 34.50C, 32.50C, 32.94C, 33.19C, 36.13C, 33.75C
01/11/2024 19:31:24 34.56C, 32.50C, 32.94C, 33.19C, 36.13C, 33.69C
01/11/2024 19:31:27 34.50C, 32.50C, 32.94C, 33.19C, 36.13C, 33.75C
01/11/2024 19:31:29 34.56C, 32.50C, 32.94C, 33.19C, 36.19C, 33.75C
01/11/2024 19:31:31 34.56C, 32.56C, 33.00C, 33.19C, 36.13C, 33.75C
01/11/2024 19:31:34 34.56C, 32.56C, 32.94C, 33.25C, 36.19C, 33.75C
