01/11/2024 17:48:44 26.31C, 26.00C, 25.81C, 26.00C, 26.00C, 25.81C
01/11/2024 17:50:33 25.31C, 25.13C, 25.06C, 25.44C, 25.38C, 25.13C
01/11/2024 17:50:35 25.38C, 25.19C, 25.13C, 25.56C, 25.44C, 25.19C
01/11/2024 17:50:38 25.44C, 25.25C, 25.19C, 25.56C, 25.44C, 25.31C
01/11/2024 17:50:40 25.50C, 25.31C, 25.25C, 25.63C, 25.50C, 25.44C
01/11/2024 17:50:42 25.63C, 25.50C, 25.31C, 25.69C, 25.56C, 25.50C
01/11/2024 17:50:45 25.63C, 25.56C, 25.38C, 25.75C, 25.63C, 25.56C
01/11/2024 17:50:47 25.69C, 25.69C, 25.44C, 25.81C, 25.69C, 25.63C
01/11/2024 17:50:50 25.81C, 25.75C, 25.50C, 25.88C, 25.75C, 25.69C
01/11/2024 17:50:52 25.88C, 25.88C, 25.56C, 25.88C, 25.81C, 25.81C
01/11/2024 17:50:54 25.94C, 25.94C, 25.63C, 26.00C, 25.88C, 25.88C
01/11/2024 17:50:57 26.00C, 26.00C, 25.69C, 26.06C, 25.94C, 25.94C
01/11/2024 17:50:59 26.13C, 26.06C, 25.81C, 26.13C, 26.06C, 26.00C
01/11/2024 17:51:02 26.19C, 26.13C, 25.88C, 26.19C, 26.13C, 26.06C
01/11/2024 17:51:04 26.25C, 26.19C, 25.94C, 26.25C, 26.19C, 26.19C
01/11/2024 17:51:07 26.31C, 26.25C, 26.00C, 26.31C, 26.25C, 26.31C
01/11/2024 17:51:09 26.44C, 26.31C, 26.13C, 26.38C, 26.38C, 26.38C
01/11/2024 17:51:11 26.50C, 26.44C, 26.19C, 26.50C, 26.44C, 26.44C
01/11/2024 17:51:14 26.56C, 26.50C, 26.25C, 26.56C, 26.56C, 26.50C
01/11/2024 17:51:16 26.69C, 26.56C, 26.31C, 26.63C, 26.63C, 26.63C
01/11/2024 17:51:19 26.75C, 26.63C, 26.44C, 26.69C, 26.69C, 26.69C
01/11/2024 17:51:21 26.88C, 26.75C, 26.50C, 26.81C, 26.81C, 26.75C
01/11/2024 17:51:24 26.94C, 26.81C, 26.56C, 26.88C, 26.88C, 26.88C
01/11/2024 17:51:26 27.00C, 26.88C, 26.69C, 26.94C, 27.00C, 26.94C
01/11/2024 17:51:28 27.13C, 26.94C, 26.75C, 27.06C, 27.06C, 27.06C
01/11/2024 17:51:31 27.25C, 27.06C, 26.81C, 27.13C, 27.19C, 27.13C
01/11/2024 17:51:33 27.31C, 27.06C, 26.94C, 27.19C, 27.25C, 27.25C
01/11/2024 17:51:36 27.44C, 27.19C, 27.06C, 27.31C, 27.38C, 27.31C
01/11/2024 17:51:38 27.56C, 27.25C, 27.13C, 27.38C, 27.44C, 27.38C
01/11/2024 17:51:40 27.63C, 27.31C, 27.19C, 27.44C, 27.56C, 27.50C
01/11/2024 17:51:43 27.75C, 27.44C, 27.25C, 27.50C, 27.69C, 27.56C
01/11/2024 17:51:45 27.81C, 27.50C, 27.38C, 27.56C, 27.75C, 27.63C
01/11/2024 17:51:48 27.88C, 27.56C, 27.44C, 27.63C, 27.81C, 27.75C
01/11/2024 17:51:50 28.00C, 27.63C, 27.56C, 27.75C, 27.94C, 27.81C
01/11/2024 17:51:53 28.06C, 27.69C, 27.63C, 27.81C, 28.00C, 27.88C
01/11/2024 17:51:55 28.19C, 27.75C, 27.75C, 27.88C, 28.13C, 28.00C
01/11/2024 17:51:57 28.25C, 27.81C, 27.81C, 28.00C, 28.19C, 28.06C
01/11/2024 17:52:00 28.31C, 27.94C, 27.88C, 28.00C, 28.31C, 28.13C
01/11/2024 17:52:02 28.44C, 28.00C, 28.00C, 28.13C, 28.38C, 28.25C
01/11/2024 17:52:05 28.56C, 28.00C, 28.06C, 28.19C, 28.44C, 28.31C
01/11/2024 17:52:07 28.63C, 28.13C, 28.13C, 28.25C, 28.50C, 28.31C
01/11/2024 17:52:10 28.69C, 28.19C, 28.25C, 28.31C, 28.63C, 28.44C
01/11/2024 17:52:12 28.75C, 28.19C, 28.31C, 28.38C, 28.69C, 28.50C
01/11/2024 17:52:14 28.88C, 28.31C, 28.38C, 28.44C, 28.81C, 28.56C
01/11/2024 17:52:17 28.94C, 28.31C, 28.44C, 28.50C, 28.88C, 28.63C
01/11/2024 17:52:19 29.00C, 28.38C, 28.50C, 28.56C, 28.94C, 28.75C
01/11/2024 17:52:22 29.13C, 28.44C, 28.56C, 28.69C, 29.00C, 28.75C
01/11/2024 17:52:24 29.19C, 28.50C, 28.69C, 28.75C, 29.13C, 28.88C
01/11/2024 17:52:26 29.25C, 28.56C, 28.75C, 28.75C, 29.19C, 28.94C
01/11/2024 17:52:29 29.31C, 28.63C, 28.81C, 28.81C, 29.25C, 29.00C
01/11/2024 17:52:31 29.44C, 28.69C, 28.88C, 28.88C, 29.38C, 29.06C
01/11/2024 17:52:34 29.44C, 28.75C, 28.94C, 28.94C, 29.44C, 29.06C
01/11/2024 17:52:36 29.56C, 28.75C, 29.00C, 29.00C, 29.50C, 29.13C
01/11/2024 17:52:39 29.63C, 28.81C, 29.00C, 29.06C, 29.56C, 29.25C
01/11/2024 17:52:41 29.75C, 28.94C, 29.13C, 29.13C, 29.63C, 29.31C
01/11/2024 17:52:43 29.75C, 28.94C, 29.19C, 29.13C, 29.69C, 29.31C
01/11/2024 17:52:46 29.81C, 29.00C, 29.25C, 29.19C, 29.81C, 29.38C
01/11/2024 17:52:48 29.94C, 29.06C, 29.25C, 29.25C, 29.88C, 29.50C
01/11/2024 17:52:51 30.00C, 29.13C, 29.38C, 29.31C, 29.94C, 29.50C
01/11/2024 17:52:53 30.06C, 29.19C, 29.44C, 29.38C, 30.00C, 29.56C
01/11/2024 17:52:56 30.13C, 29.19C, 29.50C, 29.44C, 30.06C, 29.63C
01/11/2024 17:52:58 30.19C, 29.25C, 29.50C, 29.44C, 30.13C, 29.69C
01/11/2024 17:53:00 30.25C, 29.31C, 29.56C, 29.50C, 30.19C, 29.75C
01/11/2024 17:53:03 30.31C, 29.38C, 29.63C, 29.56C, 30.25C, 29.81C
01/11/2024 17:53:05 30.38C, 29.38C, 29.75C, 29.63C, 30.31C, 29.81C
01/11/2024 17:53:08 30.44C, 29.44C, 29.75C, 29.63C, 30.38C, 29.88C
01/11/2024 17:53:10 30.50C, 29.50C, 29.81C, 29.69C, 30.44C, 29.94C
01/11/2024 17:53:12 30.56C, 29.50C, 29.88C, 29.75C, 30.56C, 30.00C
01/11/2024 17:53:15 30.63C, 29.56C, 29.94C, 29.81C, 30.63C, 30.00C
01/11/2024 17:53:17 30.63C, 29.63C, 30.00C, 29.88C, 30.63C, 30.06C
01/11/2024 17:53:20 30.75C, 29.63C, 30.06C, 29.88C, 30.69C, 30.13C
01/11/2024 17:53:22 30.81C, 29.69C, 30.13C, 29.94C, 30.75C, 30.13C
01/11/2024 17:53:25 30.88C, 29.69C, 30.19C, 29.94C, 30.81C, 30.19C
01/11/2024 17:53:27 30.94C, 29.75C, 30.19C, 30.00C, 30.88C, 30.25C
01/11/2024 17:53:29 31.00C, 29.81C, 30.25C, 30.06C, 30.94C, 30.31C
01/11/2024 17:53:32 31.00C, 29.88C, 30.25C, 30.06C, 31.00C, 30.31C
01/11/2024 17:53:34 31.06C, 29.88C, 30.31C, 30.13C, 31.06C, 30.44C
01/11/2024 17:53:37 31.13C, 29.94C, 30.38C, 30.19C, 31.13C, 30.44C
01/11/2024 17:53:39 31.19C, 29.94C, 30.44C, 30.19C, 31.19C, 30.50C
01/11/2024 17:53:42 31.19C, 29.94C, 30.50C, 30.25C, 31.25C, 30.50C
01/11/2024 17:53:44 31.25C, 30.00C, 30.50C, 30.25C, 31.31C, 30.56C
01/11/2024 17:53:46 31.31C, 30.00C, 30.56C, 30.38C, 31.38C, 30.56C
01/11/2024 17:53:49 31.38C, 30.06C, 30.63C, 30.31C, 31.38C, 30.63C
01/11/2024 17:53:51 31.38C, 30.13C, 30.69C, 30.38C, 31.44C, 30.63C
01/11/2024 17:53:54 31.44C, 30.13C, 30.75C, 30.38C, 31.50C, 30.69C
01/11/2024 17:53:56 31.50C, 30.19C, 30.81C, 30.44C, 31.56C, 30.75C
01/11/2024 17:53:58 31.56C, 30.19C, 30.81C, 30.50C, 31.63C, 30.81C
01/11/2024 17:54:01 31.56C, 30.25C, 30.88C, 30.50C, 31.63C, 30.81C
01/11/2024 17:54:03 31.63C, 30.25C, 30.88C, 30.50C, 31.69C, 30.88C
01/11/2024 17:54:06 31.69C, 30.31C, 30.94C, 30.56C, 31.75C, 30.88C
01/11/2024 17:54:08 31.75C, 30.31C, 31.00C, 30.63C, 31.81C, 30.94C
01/11/2024 17:54:11 31.81C, 30.31C, 31.06C, 30.63C, 31.88C, 30.94C
01/11/2024 17:54:13 31.81C, 30.38C, 31.06C, 30.69C, 31.94C, 31.00C
01/11/2024 17:54:15 31.88C, 30.44C, 31.13C, 30.69C, 31.94C, 31.00C
01/11/2024 17:54:18 31.94C, 30.44C, 31.13C, 30.75C, 32.06C, 31.00C
01/11/2024 17:54:20 31.94C, 30.44C, 31.19C, 30.75C, 32.06C, 31.06C
01/11/2024 17:54:23 32.00C, 30.50C, 31.19C, 30.81C, 32.13C, 31.06C
01/11/2024 17:54:25 32.06C, 30.50C, 31.25C, 30.81C, 32.19C, 31.13C
01/11/2024 17:54:28 32.06C, 30.56C, 31.31C, 30.88C, 32.25C, 31.13C
01/11/2024 17:54:30 32.13C, 30.56C, 31.31C, 30.88C, 32.25C, 31.19C
01/11/2024 17:54:32 32.19C, 30.63C, 31.38C, 30.94C, 32.31C, 31.25C
01/11/2024 17:54:35 32.19C, 30.63C, 31.38C, 30.94C, 32.38C, 31.25C
01/11/2024 17:54:37 32.19C, 30.63C, 31.44C, 31.00C, 32.38C, 31.25C
01/11/2024 17:54:40 32.25C, 30.63C, 31.44C, 31.00C, 32.44C, 31.31C
01/11/2024 17:54:42 32.25C, 30.69C, 31.50C, 31.00C, 32.50C, 31.38C
01/11/2024 17:54:44 32.31C, 30.69C, 31.50C, 31.06C, 32.56C, 31.38C
01/11/2024 17:54:47 32.31C, 30.69C, 31.56C, 31.06C, 32.56C, 31.38C
01/11/2024 17:54:49 32.38C, 30.75C, 31.56C, 31.06C, 32.63C, 31.44C
01/11/2024 17:54:52 32.44C, 30.75C, 31.63C, 31.13C, 32.69C, 31.44C
01/11/2024 17:54:54 32.44C, 30.81C, 31.63C, 31.13C, 32.69C, 31.44C
01/11/2024 17:54:57 32.50C, 30.81C, 31.69C, 31.19C, 32.75C, 31.50C
01/11/2024 17:54:59 32.50C, 30.81C, 31.69C, 31.19C, 32.81C, 31.50C
01/11/2024 17:55:01 32.56C, 30.81C, 31.75C, 31.19C, 32.81C, 31.50C
01/11/2024 17:55:04 32.56C, 30.88C, 31.75C, 31.19C, 32.88C, 31.56C
01/11/2024 17:55:06 32.63C, 30.94C, 31.81C, 31.25C, 32.88C, 31.56C
01/11/2024 17:55:09 32.63C, 30.94C, 31.88C, 31.25C, 32.94C, 31.63C
01/11/2024 17:55:11 32.69C, 30.94C, 31.88C, 31.25C, 33.00C, 31.63C
01/11/2024 17:55:14 32.69C, 31.00C, 31.94C, 31.31C, 33.00C, 31.63C
01/11/2024 17:55:16 32.69C, 31.00C, 31.94C, 31.31C, 33.00C, 31.63C
01/11/2024 17:55:18 32.75C, 31.00C, 32.00C, 31.38C, 33.06C, 31.69C
01/11/2024 17:55:21 32.81C, 31.00C, 32.00C, 31.38C, 33.13C, 31.69C
01/11/2024 17:55:23 32.81C, 31.06C, 32.00C, 31.38C, 33.13C, 31.75C
01/11/2024 17:55:26 32.88C, 31.06C, 32.00C, 31.38C, 33.19C, 31.75C
01/11/2024 17:55:28 32.88C, 31.13C, 32.06C, 31.38C, 33.19C, 31.75C
01/11/2024 17:55:30 32.88C, 31.06C, 32.06C, 31.44C, 33.25C, 31.75C
01/11/2024 17:55:33 32.94C, 31.06C, 32.06C, 31.44C, 33.25C, 31.81C
01/11/2024 17:55:35 32.94C, 31.13C, 32.06C, 31.44C, 33.31C, 31.81C
01/11/2024 17:55:38 33.00C, 31.13C, 32.06C, 31.50C, 33.38C, 31.81C
01/11/2024 17:55:40 33.00C, 31.13C, 32.06C, 31.50C, 33.38C, 31.88C
01/11/2024 17:55:43 33.06C, 31.19C, 32.06C, 31.50C, 33.38C, 31.88C
01/11/2024 17:55:45 33.06C, 31.19C, 32.13C, 31.56C, 33.44C, 31.94C
01/11/2024 17:55:47 33.13C, 31.19C, 32.13C, 31.56C, 33.44C, 31.94C
01/11/2024 17:55:50 33.13C, 31.19C, 32.19C, 31.56C, 33.50C, 31.94C
01/11/2024 17:55:52 33.13C, 31.25C, 32.19C, 31.63C, 33.50C, 32.00C
01/11/2024 17:55:55 33.19C, 31.25C, 32.19C, 31.63C, 33.56C, 32.00C
01/11/2024 17:55:57 33.19C, 31.25C, 32.25C, 31.69C, 33.56C, 32.00C
01/11/2024 17:55:59 33.19C, 31.25C, 32.25C, 31.63C, 33.56C, 32.00C
01/11/2024 17:56:02 33.19C, 31.25C, 32.25C, 31.69C, 33.63C, 32.00C
01/11/2024 17:56:04 33.25C, 31.25C, 32.25C, 31.75C, 33.63C, 32.06C
01/11/2024 17:56:07 33.19C, 31.31C, 32.31C, 31.75C, 33.69C, 32.06C
01/11/2024 17:56:09 33.25C, 31.31C, 32.31C, 31.75C, 33.69C, 32.06C
01/11/2024 17:56:12 33.31C, 31.38C, 32.31C, 31.75C, 33.69C, 32.06C
01/11/2024 17:56:14 33.31C, 31.31C, 32.31C, 31.81C, 33.75C, 32.13C
01/11/2024 17:56:16 33.31C, 31.31C, 32.31C, 31.81C, 33.75C, 32.13C
01/11/2024 17:56:19 33.38C, 31.38C, 32.38C, 31.81C, 33.81C, 32.13C
01/11/2024 17:56:21 33.38C, 31.38C, 32.38C, 31.81C, 33.81C, 32.19C
01/11/2024 17:56:24 33.44C, 31.38C, 32.38C, 31.88C, 33.88C, 32.13C
01/11/2024 17:56:26 33.44C, 31.44C, 32.38C, 31.88C, 33.88C, 32.19C
01/11/2024 17:56:29 33.44C, 31.38C, 32.44C, 31.88C, 33.94C, 32.25C
01/11/2024 17:56:31 33.44C, 31.44C, 32.44C, 31.88C, 34.00C, 32.25C
01/11/2024 17:56:33 33.50C, 31.44C, 32.44C, 31.88C, 34.00C, 32.25C
01/11/2024 17:56:36 33.50C, 31.44C, 32.50C, 31.88C, 34.00C, 32.25C
01/11/2024 17:56:38 33.50C, 31.50C, 32.50C, 31.94C, 34.06C, 32.31C
01/11/2024 17:56:41 33.56C, 31.50C, 32.50C, 31.94C, 34.13C, 32.31C
01/11/2024 17:56:43 33.56C, 31.50C, 32.50C, 31.94C, 34.13C, 32.31C
01/11/2024 17:56:45 33.56C, 31.56C, 32.56C, 32.00C, 34.19C, 32.31C
01/11/2024 17:56:48 33.56C, 31.56C, 32.56C, 32.00C, 34.19C, 32.31C
01/11/2024 17:56:50 33.69C, 31.56C, 32.56C, 32.00C, 34.25C, 32.38C
01/11/2024 17:56:53 33.69C, 31.56C, 32.56C, 32.00C, 34.31C, 32.38C
01/11/2024 17:56:55 33.63C, 31.56C, 32.56C, 32.00C, 34.31C, 32.38C
01/11/2024 17:56:58 33.69C, 31.63C, 32.63C, 32.06C, 34.31C, 32.44C
01/11/2024 17:57:00 33.69C, 31.63C, 32.63C, 32.06C, 34.31C, 32.44C
01/11/2024 17:57:02 33.69C, 31.63C, 32.63C, 32.06C, 34.38C, 32.44C
01/11/2024 17:57:05 33.69C, 31.63C, 32.63C, 32.06C, 34.38C, 32.44C
01/11/2024 17:57:07 33.75C, 31.63C, 32.63C, 32.13C, 34.38C, 32.44C
01/11/2024 17:57:10 33.75C, 31.69C, 32.69C, 32.06C, 34.44C, 32.50C
01/11/2024 17:57:12 33.75C, 31.63C, 32.69C, 32.13C, 34.44C, 32.50C
01/11/2024 17:57:15 33.75C, 31.63C, 32.69C, 32.13C, 34.50C, 32.50C
01/11/2024 17:57:17 33.81C, 31.69C, 32.69C, 32.13C, 34.50C, 32.56C
01/11/2024 17:57:19 33.81C, 31.69C, 32.69C, 32.13C, 34.50C, 32.50C
01/11/2024 17:57:22 33.88C, 31.69C, 32.69C, 32.19C, 34.56C, 32.56C
01/11/2024 17:57:24 33.88C, 31.69C, 32.69C, 32.19C, 34.56C, 32.56C
01/11/2024 17:57:27 33.88C, 31.69C, 32.75C, 32.19C, 34.56C, 32.56C
01/11/2024 17:57:29 33.88C, 31.75C, 32.75C, 32.19C, 34.56C, 32.56C
01/11/2024 17:57:31 33.94C, 31.75C, 32.75C, 32.25C, 34.63C, 32.63C
01/11/2024 17:57:34 33.94C, 31.75C, 32.69C, 32.25C, 34.63C, 32.63C
01/11/2024 17:57:36 33.94C, 31.75C, 32.75C, 32.25C, 34.63C, 32.63C
01/11/2024 17:57:39 34.00C, 31.75C, 32.75C, 32.25C, 34.69C, 32.63C
01/11/2024 17:57:41 34.00C, 31.81C, 32.69C, 32.25C, 34.69C, 32.63C
01/11/2024 17:57:44 34.00C, 31.75C, 32.75C, 32.31C, 34.75C, 32.63C
01/11/2024 17:57:46 34.00C, 31.81C, 32.75C, 32.31C, 34.75C, 32.63C
01/11/2024 17:57:48 34.06C, 31.81C, 32.75C, 32.31C, 34.81C, 32.69C
01/11/2024 17:57:51 34.06C, 31.81C, 32.75C, 32.31C, 34.81C, 32.69C
01/11/2024 17:57:53 34.06C, 31.81C, 32.75C, 32.31C, 34.81C, 32.69C
01/11/2024 17:57:56 34.06C, 31.88C, 32.75C, 32.31C, 34.81C, 32.69C
01/11/2024 17:57:58 34.13C, 31.81C, 32.75C, 32.31C, 34.88C, 32.69C
01/11/2024 17:58:00 34.13C, 31.88C, 32.75C, 32.38C, 34.88C, 32.75C
01/11/2024 17:58:03 34.13C, 31.88C, 32.75C, 32.38C, 34.88C, 32.75C
01/11/2024 17:58:05 34.13C, 31.88C, 32.81C, 32.38C, 34.94C, 32.75C
01/11/2024 17:58:08 34.13C, 31.88C, 32.81C, 32.31C, 34.94C, 32.75C
01/11/2024 17:58:10 34.19C, 31.88C, 32.81C, 32.38C, 34.94C, 32.81C
01/11/2024 17:58:13 34.13C, 31.94C, 32.81C, 32.38C, 34.94C, 32.81C
01/11/2024 17:58:15 34.19C, 31.94C, 32.81C, 32.38C, 35.00C, 32.81C
01/11/2024 17:58:17 34.19C, 31.88C, 32.81C, 32.44C, 35.00C, 32.81C
01/11/2024 17:58:20 34.19C, 31.94C, 32.81C, 32.44C, 35.00C, 32.81C
01/11/2024 17:58:22 34.25C, 31.94C, 32.81C, 32.44C, 35.00C, 32.81C
01/11/2024 17:58:25 34.25C, 31.94C, 32.81C, 32.44C, 35.00C, 32.81C
01/11/2024 17:58:27 34.25C, 31.94C, 32.81C, 32.44C, 35.00C, 32.81C
01/11/2024 17:58:30 34.25C, 32.00C, 32.81C, 32.50C, 35.00C, 32.88C
01/11/2024 17:58:32 34.25C, 31.94C, 32.81C, 32.50C, 35.00C, 32.81C
01/11/2024 17:58:34 34.25C, 31.94C, 32.88C, 32.50C, 35.00C, 32.88C
01/11/2024 17:58:37 34.25C, 32.00C, 32.88C, 32.50C, 35.06C, 32.88C
01/11/2024 17:58:39 34.25C, 32.00C, 32.88C, 32.50C, 35.00C, 32.88C
01/11/2024 17:58:42 34.25C, 32.00C, 32.88C, 32.50C, 35.06C, 32.88C
01/11/2024 17:58:44 34.31C, 32.00C, 32.88C, 32.56C, 35.06C, 32.88C
01/11/2024 17:58:46 34.31C, 32.00C, 32.88C, 32.56C, 35.06C, 32.88C
01/11/2024 17:58:49 34.31C, 32.00C, 32.88C, 32.56C, 35.06C, 32.88C
01/11/2024 17:58:51 34.31C, 32.00C, 32.88C, 32.56C, 35.06C, 32.88C
01/11/2024 17:58:54 34.31C, 32.00C, 32.88C, 32.56C, 35.13C, 32.88C
01/11/2024 17:58:56 34.38C, 32.06C, 32.94C, 32.56C, 35.13C, 32.94C
01/11/2024 17:58:59 34.38C, 32.00C, 32.94C, 32.56C, 35.13C, 32.88C
01/11/2024 17:59:01 34.38C, 32.06C, 32.94C, 32.63C, 35.13C, 32.94C
01/11/2024 17:59:03 34.38C, 32.06C, 32.94C, 32.63C, 35.19C, 32.94C
01/11/2024 17:59:06 34.38C, 32.06C, 32.94C, 32.63C, 35.19C, 32.94C
01/11/2024 17:59:08 34.44C, 32.06C, 32.94C, 32.63C, 35.19C, 32.94C
01/11/2024 17:59:11 34.38C, 32.06C, 32.94C, 32.63C, 35.19C, 32.94C
01/11/2024 17:59:13 34.44C, 32.13C, 32.94C, 32.63C, 35.19C, 32.94C
01/11/2024 17:59:15 34.44C, 32.06C, 33.00C, 32.63C, 35.19C, 32.94C
01/11/2024 17:59:18 34.44C, 32.13C, 33.00C, 32.69C, 35.19C, 32.94C
01/11/2024 17:59:20 34.44C, 32.13C, 33.00C, 32.63C, 35.19C, 32.94C
01/11/2024 17:59:23 34.50C, 32.13C, 33.00C, 32.69C, 35.19C, 32.94C
01/11/2024 17:59:25 34.50C, 32.13C, 33.00C, 32.69C, 35.25C, 32.94C
01/11/2024 17:59:28 34.50C, 32.19C, 33.00C, 32.69C, 35.19C, 32.94C
01/11/2024 17:59:30 34.50C, 32.13C, 33.00C, 32.69C, 35.19C, 32.94C
01/11/2024 17:59:32 34.50C, 32.19C, 33.06C, 32.69C, 35.25C, 33.00C
01/11/2024 17:59:35 34.50C, 32.19C, 33.06C, 32.75C, 35.25C, 32.94C
01/11/2024 17:59:37 34.50C, 32.19C, 33.13C, 32.75C, 35.25C, 33.00C
01/11/2024 17:59:40 34.56C, 32.19C, 33.13C, 32.75C, 35.25C, 33.00C
01/11/2024 17:59:42 34.56C, 32.19C, 33.13C, 32.75C, 35.25C, 32.94C
01/11/2024 17:59:45 34.56C, 32.19C, 33.19C, 32.75C, 35.25C, 33.00C
01/11/2024 17:59:47 34.56C, 32.25C, 33.19C, 32.75C, 35.31C, 33.00C
01/11/2024 17:59:49 34.56C, 32.19C, 33.19C, 32.75C, 35.31C, 33.00C
01/11/2024 17:59:52 34.56C, 32.25C, 33.19C, 32.81C, 35.25C, 33.00C
01/11/2024 17:59:54 34.56C, 32.25C, 33.25C, 32.81C, 35.31C, 33.00C
01/11/2024 17:59:57 34.63C, 32.25C, 33.25C, 32.75C, 35.31C, 33.00C
01/11/2024 17:59:59 34.63C, 32.25C, 33.25C, 32.75C, 35.38C, 33.00C
01/11/2024 18:00:01 34.63C, 32.25C, 33.25C, 32.81C, 35.38C, 33.00C
01/11/2024 18:00:04 34.69C, 32.25C, 33.25C, 32.81C, 35.38C, 33.00C
01/11/2024 18:00:06 34.63C, 32.25C, 33.25C, 32.81C, 35.31C, 33.00C
01/11/2024 18:00:09 34.69C, 32.25C, 33.25C, 32.81C, 35.38C, 33.00C
01/11/2024 18:00:11 34.69C, 32.25C, 33.25C, 32.81C, 35.38C, 33.00C
01/11/2024 18:00:14 34.69C, 32.25C, 33.25C, 32.81C, 35.38C, 33.00C
01/11/2024 18:00:16 34.69C, 32.31C, 33.25C, 32.81C, 35.38C, 33.00C
01/11/2024 18:00:18 34.69C, 32.25C, 33.25C, 32.81C, 35.44C, 33.00C
01/11/2024 18:00:21 34.69C, 32.31C, 33.25C, 32.81C, 35.44C, 33.00C
01/11/2024 18:00:23 34.69C, 32.31C, 33.25C, 32.81C, 35.44C, 33.00C
